cohort,model,prior_wave,landmark_wave,prior_year,landmark_year,outcome_year,history_horizon_years,prediction_horizon_years,primary_horizon,interval_class,evaluation_weighting,persons,records,events,event_rate,mean_prediction,auc,brier,calibration_intercept,calibration_slope
HRS,M1,2,3,1994,1996,1998,2,2,TRUE,primary_2to3_year,unweighted,2674,2674,411,0.153702318623785,0.142986315094123,0.744178807925659,0.11679160010635,0.0910368245332502,1.30762432854262
ELSA,M0,3,4,2006,2008,2010,2,2,TRUE,primary_2to3_year,unweighted,3288,3288,327,0.0994525547445255,0.153194074180398,0.681811562545508,0.0886089685779851,-0.501957815916066,1.73120880618311
ELSA,M0,4,5,2008,2010,2012,2,2,TRUE,primary_2to3_year,unweighted,4377,4377,381,0.0870459218642906,0.150079881975619,0.607852931671829,0.0820199598200011,-0.625704611330833,1.16046078397921
ELSA,M0,5,6,2010,2012,2014,2,2,TRUE,primary_2to3_year,unweighted,4475,4475,366,0.0817877094972067,0.151554545456518,0.661993797435192,0.0771596474235614,-0.70608479257017,1.72008863114547
ELSA,M0,6,7,2012,2014,2016,2,2,TRUE,primary_2to3_year,unweighted,4487,4487,415,0.0924894138622688,0.152816243438504,0.631260207825408,0.0854501624378954,-0.579431609920526,1.37659929301524
ELSA,M0,7,8,2014,2016,2018,2,2,TRUE,primary_2to3_year,unweighted,4363,4363,404,0.0925968370387348,0.156567580459488,0.642320480469365,0.0860012919189142,-0.607575477465995,1.40892205091322
ELSA,M0,8,9,2016,2018,2021,2,3,TRUE,primary_2to3_year,unweighted,3251,3251,401,0.123346662565364,0.157904129523267,0.64259789123682,0.105423677638713,-0.291627874046257,1.59638053953935
ELSA,M0,2,3,2004,2006,2008,2,2,TRUE,primary_2to3_year,unweighted,3089,3089,352,0.113952735513111,0.155113744124402,0.64687354684957,0.0984946137522703,-0.362368228690181,1.527739868414
ELSA,M0,1,2,2002,2004,2006,2,2,TRUE,primary_2to3_year,unweighted,3281,3281,329,0.100274306613837,0.15423113850961,0.627142177576791,0.0909162515640611,-0.500413423328298,1.28583888884181
ELSA,M1,3,4,2006,2008,2010,2,2,TRUE,primary_2to3_year,unweighted,3288,3288,327,0.0994525547445255,0.0799009383535215,0.767405940839476,0.0814133051523725,0.259029639016839,1.1856585749025
ELSA,M1,4,5,2008,2010,2012,2,2,TRUE,primary_2to3_year,unweighted,4377,4377,381,0.0870459218642906,0.0773077702383785,0.73944121286641,0.0740088000541748,0.138844622717925,1.02841084555297
ELSA,M1,5,6,2010,2012,2014,2,2,TRUE,primary_2to3_year,unweighted,4475,4475,366,0.0817877094972067,0.0783678925100373,0.759152905723409,0.0682670972089266,0.049802469421834,1.16322381374932
ELSA,M1,6,7,2012,2014,2016,2,2,TRUE,primary_2to3_year,unweighted,4487,4487,415,0.0924894138622688,0.0790714764102831,0.749992011267072,0.0772737549250281,0.183819531046563,1.11403945757498
ELSA,M1,7,8,2014,2016,2018,2,2,TRUE,primary_2to3_year,unweighted,4363,4363,404,0.0925968370387348,0.0809592856203797,0.758829674960424,0.0770637354302628,0.157936732695951,1.13649092721898
ELSA,M1,8,9,2016,2018,2021,2,3,TRUE,primary_2to3_year,unweighted,3251,3251,401,0.123346662565364,0.111293238440072,0.756283414271339,0.0967451071439623,0.126488004611846,1.20526260650701
ELSA,M1,2,3,2004,2006,2008,2,2,TRUE,primary_2to3_year,unweighted,3089,3089,352,0.113952735513111,0.0681288175902227,0.741329362772777,0.0947613086434052,0.604644276230408,1.13541039420497
ELSA,M1,1,2,2002,2004,2006,2,2,TRUE,primary_2to3_year,unweighted,3281,3281,329,0.100274306613837,0.080997776581005,0.725819803790743,0.0844043662198864,0.251376555964456,1.00810005199323
MHAS,M0,4,5,2015,2018,2021,3,3,TRUE,primary_2to3_year,unweighted,3968,3968,665,0.167590725806452,0.132007425109882,0.645955715810871,0.136509698401202,0.283917258876653,1.80676870145036
MHAS,M0,2,3,2003,2012,2015,9,3,FALSE,extended_long_history_interval,unweighted,3680,3680,689,0.187228260869565,0.131271709472371,0.639180240285443,0.150592371814562,0.427074166109173,1.73935107030463
