cohort,variable,variable_label,class
HRS,h5amort,h5amort:w5 assets:total mortgage--cross-wave,numeric
HRS,h6afmort,h6afmort:w6 asst flag: total mortgage--cross-wave,haven_labelled;vctrs_vctr;double
HRS,h6amort,h6amort:w6 assets:total mortgage--cross-wave,numeric
HRS,h7afmort,h7afmort:w7 asst flag: total mortgage--cross-wave,haven_labelled;vctrs_vctr;double
HRS,h7amort,h7amort:w7 assets:total mortgage--cross-wave,numeric
HRS,h8afmort,h8afmort:w8 asst flag: total mortgage--cross-wave,haven_labelled;vctrs_vctr;double
HRS,h8amort,h8amort:w8 assets:total mortgage--cross-wave,numeric
HRS,h9afmort,h9afmort:w9 asst flag: total mortgage--cross-wave,haven_labelled;vctrs_vctr;double
HRS,h9amort,h9amort:w9 assets:total mortgage--cross-wave,numeric
HRS,r10dadage,r10dadage:w10 father age current/at death,numeric
HRS,r10deptho,r10deptho:w10 r thoughts about death,haven_labelled;vctrs_vctr;double
HRS,r10iwstat,r10iwstat:w10 r interview status,haven_labelled;vctrs_vctr;double
HRS,r10momage,r10momage:w10 mother age current/at death,numeric
HRS,r10penic1,r10penic1:w10 pen #1 continue after death,haven_labelled;vctrs_vctr;double
HRS,r10penic2,r10penic2:w10 pen #2 continue after death,haven_labelled;vctrs_vctr;double
HRS,r10pexit,r10pexit:w10 exit or post-exit interview administered this wave,haven_labelled;vctrs_vctr;double
HRS,r11dadage,r11dadage:w11 father age current/at death,numeric
HRS,r11deptho,r11deptho:w11 r thoughts about death,haven_labelled;vctrs_vctr;double
HRS,r11iwstat,r11iwstat:w11 r interview status,haven_labelled;vctrs_vctr;double
HRS,r11momage,r11momage:w11 mother age current/at death,numeric
HRS,r11penic1,r11penic1:w11 pen #1 continue after death,haven_labelled;vctrs_vctr;double
HRS,r11penic2,r11penic2:w11 pen #2 continue after death,haven_labelled;vctrs_vctr;double
HRS,r11pexit,r11pexit:w11 exit or post-exit interview administered this wave,haven_labelled;vctrs_vctr;double
HRS,r12dadage,r12dadage:w12 father age current/at death,numeric
HRS,r12deptho,r12deptho:w12 r thoughts about death,haven_labelled;vctrs_vctr;double
HRS,r12iwstat,r12iwstat:w12 r interview status,haven_labelled;vctrs_vctr;double
HRS,r12momage,r12momage:w12 mother age current/at death,numeric
HRS,r12penic1,r12penic1:w12 pen #1 continue after death,haven_labelled;vctrs_vctr;double
HRS,r12penic2,r12penic2:w12 pen #2 continue after death,haven_labelled;vctrs_vctr;double
HRS,r12pexit,r12pexit:w12 exit or post-exit interview administered this wave,haven_labelled;vctrs_vctr;double
HRS,r13dadage,r13dadage:w13 father age current/at death,numeric
HRS,r13deptho,r13deptho:w13 r thoughts about death,haven_labelled;vctrs_vctr;double
HRS,r13iwstat,r13iwstat:w13 r interview status,haven_labelled;vctrs_vctr;double
HRS,r13momage,r13momage:w13 mother age current/at death,numeric
HRS,r13penic1,r13penic1:w13 pen #1 continue after death,haven_labelled;vctrs_vctr;double
HRS,r13penic2,r13penic2:w13 pen #2 continue after death,haven_labelled;vctrs_vctr;double
HRS,r13pexit,r13pexit:w13 exit or post-exit interview administered this wave,haven_labelled;vctrs_vctr;double
HRS,r14dadage,r14dadage:w14 father age current/at death,numeric
HRS,r14deptho,r14deptho:w14 r thoughts about death,haven_labelled;vctrs_vctr;double
HRS,r14iwstat,r14iwstat:w14 r interview status,haven_labelled;vctrs_vctr;double
HRS,r14momage,r14momage:w14 mother age current/at death,numeric
HRS,r14penic1,r14penic1:w14 pen #1 continue after death,haven_labelled;vctrs_vctr;double
HRS,r14penic2,r14penic2:w14 pen #2 continue after death,haven_labelled;vctrs_vctr;double
HRS,r14pexit,r14pexit:w14 exit or post-exit interview administered this wave,haven_labelled;vctrs_vctr;double
HRS,r15dadage,r15dadage:w15 father age current/at death,numeric
