cohort,outer_split,method,calibration_fraction_total_persons,inner_attempts,inner_successes,fit_success_rate,total_persons,evaluation_persons,evaluation_records,evaluation_events,median_calibration_persons,median_calibration_records,median_calibration_events,median_calibration_event_persons,median_auc,median_brier,median_delta_brier_vs_raw,median_citl,median_abs_citl,median_slope,median_abs_slope_error,proportion_abs_citl_le_0_20,proportion_brier_within_plus_0_001,proportion_brier_improved,descriptive_tolerance_met
CHARLS,27,intercept_only,0.1,100,100,1.0,3915,1566,1566,321,391.0,391.0,78.0,78.0,0.6632286153961641,0.15243989589369722,-0.009573180236694484,0.04730841427187351,0.09022647517386526,0.8868761887268813,0.11312381127311866,0.79,1.0,1.0,True
CHARLS,27,intercept_only,0.2,100,100,1.0,3915,1566,1566,321,783.0,783.0,155.5,155.5,0.6632286153961641,0.1522831364222607,-0.009729939708130991,0.05704264150521715,0.06230308082129496,0.8868761887268813,0.11312381127311866,0.94,1.0,1.0,True
CHARLS,27,intercept_only,0.3,100,100,1.0,3915,1566,1566,321,1174.0,1174.0,233.5,233.5,0.6632286153961641,0.15224859508470956,-0.009764481045682158,0.05709179114981483,0.05767884870850666,0.8868761887268813,0.11312381127311866,0.99,1.0,1.0,True
CHARLS,27,intercept_only,0.4,100,100,1.0,3915,1566,1566,321,1566.0,1566.0,311.0,311.0,0.6632286153961641,0.15223916598634,-0.009773910144051712,0.06042081094356928,0.061856643141404814,0.8868761887268813,0.11312381127311866,1.0,1.0,1.0,True
CHARLS,27,intercept_only,0.5,100,100,1.0,3915,1566,1566,321,1957.0,1957.0,389.0,389.0,0.6632286153961641,0.15222767361712197,-0.009785402513269717,0.055505594763552164,0.055505594763552164,0.8868761887268813,0.11312381127311866,1.0,1.0,1.0,True
CHARLS,27,intercept_only,0.6,100,100,1.0,3915,1566,1566,321,2349.0,2349.0,466.0,466.0,0.6632286153961641,0.15222978267285175,-0.009783293457539949,0.05678348128359498,0.05678348128359498,0.8868761887268813,0.11312381127311866,1.0,1.0,1.0,True
CHARLS,27,none,0.0,1,1,1.0,3915,1566,1566,321,0.0,0.0,0.0,0.0,0.6632286153961641,0.1620130761303917,0.0,0.7802465595234147,0.7802465595234147,0.8868761887268813,0.11312381127311866,0.0,1.0,1.0,False
CHARLS,28,intercept_and_slope,0.05,100,100,1.0,3915,1566,1566,351,195.0,195.0,36.0,36.0,0.664807194025301,0.16363779847740278,-0.011236636543616743,0.20365830570327012,0.20365830570327012,1.1566159077974683,0.23769413768917425,0.48,1.0,1.0,False
CHARLS,28,intercept_and_slope,0.1,100,100,1.0,3915,1566,1566,351,391.0,391.0,73.0,73.0,0.664807194025301,0.1631723083181222,-0.01170212670289733,0.21352750880329635,0.21352750880329635,1.0952292585787502,0.15846081653709498,0.44,1.0,1.0,False
CHARLS,28,intercept_and_slope,0.2,100,100,1.0,3915,1566,1566,351,783.0,783.0,145.0,145.0,0.664807194025301,0.16317912298000561,-0.011695312041013928,0.22946224263995274,0.22946224263995274,1.0464683219100128,0.10233818552130719,0.37,1.0,1.0,False
CHARLS,28,intercept_and_slope,0.3,100,100,1.0,3915,1566,1566,351,1174.0,1174.0,218.0,218.0,0.664807194025301,0.1630668790090613,-0.01180755601195825,0.22114667039760771,0.22114667039760771,1.0700369627902289,0.07670775492923637,0.28,1.0,1.0,False
CHARLS,28,intercept_and_slope,0.4,100,100,1.0,3915,1566,1566,351,1566.0,1566.0,291.0,291.0,0.664807194025301,0.16312290322821615,-0.011751531792803388,0.22250040079387323,0.22250040079387323,1.0807250637979877,0.08072506379798772,0.26,1.0,1.0,False
